last_name, first_name,year,b_ab,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Villar, Jonathan,2016,589,19,.285,.248,.387,.325,.341,.140,90.3,4.7,
Ortega, Rafael,2016,185,1,.232,.269,.331,.296,.319,.062,85.7,6.4,
Adames, Cristhian,2016,225,2,.218,.227,.297,.286,.315,.070,84.1,2.2,
Santana, Danny,2016,233,2,.240,.241,.361,.285,.283,.120,88.6,7.5,
Arcia, Oswaldo,2016,202,8,.203,.212,.389,.293,.279,.177,86.5,12.2,
Bandy, Jett,2016,209,8,.234,.227,.387,.293,.279,.160,87.1,22.5,
Beckham, Tim,2016,198,5,.247,.221,.362,.281,.276,.141,89.6,11.6,
Broxton, Keon,2016,207,9,.242,.227,.397,.330,.344,.169,93.5,9.6,
Burns, Billy,2016,311,0,.235,.244,.284,.259,.284,.040,82.9,6.7,
Crawford, Brandon,2016,553,12,.275,.254,.419,.327,.330,.164,88.9,12.8,
Cron, C.J.,2016,407,16,.278,.274,.464,.344,.327,.190,89.3,12.3,
Dickerson, Alex,2016,253,10,.257,.271,.449,.348,.348,.177,88.9,15.8,
Giavotella, Johnny,2016,346,6,.260,.282,.369,.302,.310,.087,85.7,9.9,
Gillaspie, Conor,2016,191,6,.262,.272,.419,.319,.320,.147,88.9,13.6,
Gomes, Yan,2016,251,9,.167,.209,.372,.267,.240,.163,87,16.8,
Gose, Anthony,2016,91,2,.209,.186,.276,.250,.267,.091,89.4,4.7,
Grossman, Robbie,2016,332,11,.280,.260,.389,.342,.369,.129,86.5,13.2,
Harrison, Josh,2016,487,4,.283,.255,.378,.291,.286,.123,86.5,13,
Herrmann, Chris,2016,148,6,.284,.256,.488,.353,.330,.231,89.9,10.7,
Hicks, Aaron,2016,327,8,.217,.235,.360,.293,.300,.125,89.1,10.7,
Hosmer, Eric,2016,605,25,.266,.268,.455,.344,.333,.187,92,4,
Joseph, Caleb,2016,132,0,.174,.217,.295,.249,.256,.079,86.5,13.6,
Kipnis, Jason,2016,610,23,.275,.273,.457,.351,.344,.184,89.9,14.8,
Lawrie, Brett,2016,351,12,.248,.238,.389,.303,.301,.152,88.9,16.8,
Mahtook, Mikie,2016,185,3,.195,.194,.323,.242,.231,.129,90,19,
McCann, James,2016,344,12,.221,.222,.415,.299,.274,.192,88.4,16.2,
Miller, Brad,2016,548,30,.243,.247,.442,.328,.310,.196,90.5,12.1,
Nieuwenhuis, Kirk,2016,335,13,.209,.208,.392,.319,.325,.184,90.2,9.6,
Rendon, Anthony,2016,567,20,.270,.271,.460,.355,.354,.189,91.1,16.9,
Semien, Marcus,2016,568,27,.238,.224,.410,.304,.289,.186,88,15.4,
Shaw, Travis,2016,480,16,.242,.237,.425,.313,.302,.189,88.7,16.1,
Shuck, JB,2016,224,4,.205,.238,.308,.266,.279,.071,84.9,7.5,
Springer, George,2016,644,29,.261,.261,.469,.362,.360,.209,89.4,8.7,
Strange-Gordon, Dee,2016,325,1,.268,.225,.273,.246,.267,.048,82.8,3.7,
Vazquez, Christian,2016,172,1,.227,.227,.320,.268,.278,.093,87.1,1.4,
Wong, Kolten,2016,313,5,.240,.252,.356,.316,.343,.104,86.7,10.8,
Gregorius, Didi,2016,562,20,.276,.251,.360,.281,.282,.108,86.1,14.5,
Franklin, Nick,2016,174,6,.270,.222,.348,.278,.284,.126,88,17.3,
Grichuk, Randal,2016,446,24,.240,.236,.469,.324,.286,.233,91.4,16.3,
Marisnick, Jake,2016,287,5,.209,.226,.335,.274,.278,.109,86.8,11.7,
Trout, Mike,2016,549,29,.315,.309,.583,.435,.441,.274,91,13.8,
Herrera, Odubel,2016,583,15,.286,.245,.365,.307,.326,.121,87.8,10.3,
Almora Jr., Albert,2016,112,3,.277,.282,.420,.324,.316,.137,87.6,8.5,
Wolters, Tony,2016,205,3,.259,.226,.320,.280,.301,.094,85.6,8.5,
Harper, Bryce,2016,506,24,.243,.255,.446,.358,.388,.191,88.9,15,
Perez, Roberto,2016,153,3,.183,.207,.327,.300,.314,.120,89.2,7,
Kim, Hyun Soo,2016,305,6,.302,.276,.430,.353,.362,.154,90.5,6.5,
Martin, Leonys,2016,518,15,.247,.227,.339,.286,.293,.111,87.6,12.8,
Abreu, Jose,2016,624,25,.293,.284,.473,.356,.347,.189,89.7,10.3,
Narvaez, Omar,2016,101,1,.267,.255,.324,.303,.345,.069,84.4,14.3,
Suarez, Eugenio,2016,565,21,.248,.239,.399,.314,.311,.160,86.7,15.9,
Polanco, Gregory,2016,527,22,.258,.273,.442,.341,.340,.170,89.9,14.1,
Santana, Domingo,2016,246,11,.256,.270,.470,.363,.358,.201,92.9,9.3,
Sanchez, Yolmer,2016,154,4,.208,.229,.360,.271,.259,.130,88.1,15.9,
Moya, Steven,2016,94,5,.255,.231,.399,.287,.267,.168,92.5,13.4,
Flores, Ramon,2016,249,2,.205,.220,.277,.273,.312,.058,84.5,9.5,
Schoop, Jonathan,2016,615,25,.267,.254,.409,.305,.287,.156,87.3,11.9,
Adams, Matt,2016,297,16,.249,.244,.479,.335,.305,.235,89.9,20,
Altherr, Aaron,2016,198,4,.197,.220,.318,.290,.320,.098,88.2,5.5,
Arenado, Nolan,2016,618,41,.294,.266,.483,.352,.340,.217,89.5,18.6,
Barnhart, Tucker,2016,377,7,.257,.255,.367,.304,.324,.112,86,9.5,
Bour, Justin,2016,280,15,.264,.280,.508,.370,.367,.228,91.8,10.1,
Gennett, Scooter,2016,498,14,.263,.232,.347,.285,.290,.115,86.9,12.2,
Hamilton, Billy,2016,411,3,.260,.245,.296,.281,.309,.052,83.3,10.6,
Haniger, Mitch,2016,109,5,.229,.238,.440,.322,.317,.202,92.1,14.2,
Hazelbaker, Jeremy,2016,200,12,.235,.225,.394,.296,.289,.170,87.7,10.4,
Hernandez, Enrique,2016,216,7,.190,.217,.368,.300,.307,.150,88.5,13.8,
Holt, Brock,2016,290,7,.255,.265,.368,.316,.333,.103,86,6.3,
Joseph, Tommy,2016,315,21,.257,.256,.491,.347,.312,.235,89.9,16.9,
Lamb, Jake,2016,523,29,.249,.250,.474,.350,.336,.224,91.3,10.4,
Maile, Luke,2016,119,3,.227,.213,.328,.247,.239,.115,89,12.9,
Muncy, Max,2016,113,2,.186,.238,.360,.325,.356,.122,84.5,12.5,
Myers, Wil,2016,599,28,.259,.259,.440,.343,.339,.181,88.6,10,
Naquin, Tyler,2016,321,14,.296,.258,.437,.338,.341,.179,91.1,10.1,
Owings, Chris,2016,437,5,.277,.269,.386,.306,.311,.117,88.1,8.5,
Piscotty, Stephen,2016,582,22,.273,.269,.471,.354,.341,.202,88.3,13.7,
Rickard, Joey,2016,257,5,.268,.235,.339,.283,.292,.105,85.9,12.8,
Schimpf, Ryan,2016,276,20,.217,.194,.472,.344,.322,.278,90.3,29.7,
Seager, Kyle,2016,597,30,.278,.296,.521,.385,.378,.225,90.4,16.8,
Taylor, Michael A.,2016,221,7,.231,.237,.390,.297,.287,.153,88.1,8.5,
Thompson, Trayce,2016,236,13,.225,.244,.433,.330,.319,.189,88.4,8.5,
Zunino, Mike,2016,164,12,.207,.198,.436,.327,.311,.238,90.2,22.4,
Goins, Ryan,2016,183,3,.186,.204,.310,.248,.246,.106,88.4,7.7,
Carpenter, Matt,2016,473,21,.271,.290,.553,.405,.400,.263,90.7,18.1,
Dickerson, Corey,2016,510,24,.245,.237,.450,.314,.286,.213,89,18,
Dozier, Brian,2016,615,42,.268,.236,.460,.332,.313,.224,88.1,18.8,
Saladino, Tyler,2016,298,8,.282,.259,.367,.295,.295,.108,86.7,8.4,
Vargas, Kennys,2016,152,10,.230,.211,.448,.332,.318,.237,90.5,17.3,
Contreras, Willson,2016,252,12,.282,.270,.454,.352,.348,.184,88.4,6.9,
Gyorko, Jedd,2016,400,30,.243,.246,.483,.340,.310,.237,87.7,14.9,
Iglesias, Jose,2016,467,4,.255,.258,.321,.287,.311,.063,83.6,8.3,
Travis, Devon,2016,410,11,.300,.261,.389,.301,.295,.129,87,11.4,
Hechavarria, Adeiny,2016,508,3,.236,.280,.373,.308,.326,.093,88.1,8,
Torreyes, Ronald,2016,155,1,.258,.264,.342,.295,.312,.078,85.2,5.1,
Bryant, Kris,2016,603,39,.292,.268,.547,.388,.366,.278,89.3,20.7,
Casali, Curt,2016,226,8,.186,.199,.332,.276,.284,.134,86.1,20.4,
Castellanos, Nick,2016,411,18,.285,.294,.593,.392,.340,.299,89.4,16.9,
DeShields, Delino,2016,182,4,.209,.211,.292,.264,.281,.081,87,5.2,
Drury, Brandon,2016,461,16,.282,.264,.417,.320,.315,.153,88.8,9.4,
Healy, Ryon,2016,269,13,.305,.287,.501,.352,.320,.214,88.7,13.5,
Holaday, Bryan,2016,117,2,.231,.205,.335,.267,.263,.129,85.1,24.4,
Machado, Manny,2016,640,37,.294,.294,.528,.372,.346,.235,90.3,14.6,
Parker, Jarrett,2016,127,5,.236,.240,.397,.340,.363,.157,86.6,8.1,
Pederson, Joc,2016,406,25,.246,.244,.467,.355,.352,.223,92.3,15.3,
Realmuto, J.T.,2016,509,11,.303,.274,.394,.315,.318,.120,88.6,9.8,
Rosario, Eddie,2016,335,10,.269,.231,.386,.280,.262,.154,87.7,11.2,
Simmons, Andrelton,2016,448,4,.281,.278,.363,.310,.324,.085,86.8,4.5,
Toles, Andrew,2016,105,3,.314,.272,.445,.330,.327,.173,89.3,7.5,
Yelich, Christian,2016,578,21,.298,.312,.520,.396,.394,.208,92.6,2.7,
Merrifield, Whit,2016,311,2,.283,.259,.385,.304,.303,.126,88.1,12.2,
Bogaerts, Xander,2016,652,21,.294,.261,.408,.326,.328,.147,89,11,
Castro, Daniel,2016,130,0,.200,.236,.274,.250,.276,.038,84.1,5,
Polanco, Jorge,2016,245,4,.282,.276,.372,.315,.332,.096,86.8,15.8,
Sano, Miguel,2016,437,25,.236,.216,.451,.329,.306,.235,92.4,16.9,
Calhoun, Kole,2016,594,18,.271,.273,.458,.355,.353,.185,89.7,14.9,
Duvall, Adam,2016,552,33,.241,.251,.494,.342,.307,.243,88.5,19.2,
Eaton, Adam,2016,619,14,.284,.275,.408,.341,.357,.132,89,5,
Garcia, Greg,2016,214,3,.276,.265,.370,.344,.388,.105,85.5,6.8,
Gattis, Evan,2016,447,32,.251,.241,.455,.327,.312,.213,89.4,13,
Gosselin, Phil,2016,220,2,.277,.275,.355,.307,.324,.079,86.5,6.8,
Schebler, Scott,2016,257,9,.265,.261,.401,.322,.327,.141,89.7,7,
Kiermaier, Kevin,2016,366,12,.246,.246,.371,.316,.333,.125,87.9,14,
Profar, Jurickson,2016,272,5,.239,.235,.322,.294,.318,.087,86.4,6.9,
Baez, Javier,2016,421,14,.273,.240,.387,.294,.286,.147,88.2,14,
Goeddel, Tyler,2016,213,4,.192,.221,.312,.274,.287,.091,87.3,6.4,
Lindor, Francisco,2016,604,15,.301,.291,.425,.345,.354,.134,88.7,7.9,
Odor, Rougned,2016,605,33,.271,.255,.463,.324,.284,.208,89.6,14.3,
Story, Trevor,2016,372,27,.272,.263,.533,.369,.335,.270,91,18,
Sanchez, Gary,2016,201,20,.299,.276,.571,.398,.361,.295,92.7,7.9,
Sardinas, Luis,2016,180,4,.244,.218,.312,.256,.271,.094,87.4,8.9,
Cuthbert, Cheslor,2016,475,12,.274,.238,.336,.278,.285,.099,89.3,12.4,
Kepler, Max,2016,396,17,.235,.240,.354,.297,.316,.113,89.7,8.5,
Franco, Maikel,2016,581,25,.255,.262,.430,.324,.316,.167,89.5,11.8,
Choi, Ji-Man,2016,112,5,.170,.204,.379,.301,.305,.174,89.8,10.7,
Bradley Jr., Jackie,2016,558,26,.267,.251,.449,.344,.338,.198,90.3,10.1,
La Stella, Tommy,2016,148,2,.270,.259,.438,.346,.351,.179,88.6,16.3,
Ahmed, Nick,2016,284,4,.218,.239,.344,.277,.287,.105,87.1,9.2,
Asche, Cody,2016,197,4,.213,.232,.364,.299,.304,.132,85.9,15.3,
Bell, Josh,2016,128,3,.273,.282,.452,.370,.384,.169,88.2,6.4,
Betts, Mookie,2016,672,31,.318,.286,.456,.347,.337,.170,89.8,12.5,
Panik, Joe,2016,464,10,.239,.259,.405,.328,.338,.147,86.3,12.8,
Smith, Mallex,2016,189,3,.238,.214,.314,.281,.302,.100,85.8,0.7,
Tomlinson, Kelby,2016,106,0,.292,.286,.347,.325,.368,.061,85.6,5.4,
Tucker, Preston,2016,134,4,.164,.202,.332,.263,.258,.130,89,14.6,
Arcia, Orlando,2016,201,4,.219,.212,.301,.260,.268,.089,87.7,6.1,
Hernandez, Teoscar,2016,100,4,.230,.209,.351,.279,.286,.142,90.2,12.7,
Peraza, Jose,2016,241,3,.324,.314,.415,.338,.346,.101,85.1,11.2,
Marte, Ketel,2016,437,1,.259,.245,.301,.264,.279,.056,85.8,7,
Peterson, Jace,2016,350,7,.254,.275,.399,.344,.369,.124,88.2,3.7,
Turner, Trea,2016,307,13,.342,.308,.505,.367,.343,.197,89.9,11.4,
Reed, AJ,2016,122,3,.164,.182,.323,.276,.285,.141,88.6,11.8,
