last_name, first_name,year,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Astudillo, Willians,2019,4,0.268,0.288,0.423,0.323,0.324,0.135,85.9,15.4,
Suarez, Eugenio,2019,49,0.271,0.251,0.509,0.361,0.344,0.258,89.4,17.8,
Polanco, Gregory,2019,6,0.242,0.227,0.406,0.296,0.288,0.179,89.4,18.4,
Santana, Domingo,2019,21,0.253,0.254,0.490,0.349,0.332,0.236,89,11.3,
Gonzalez, Erik,2019,1,0.254,0.229,0.306,0.251,0.280,0.077,87.4,4.5,
Urshela, Gio,2019,21,0.314,0.289,0.504,0.353,0.333,0.216,90.6,13.5,
Sanchez, Yolmer,2019,2,0.252,0.234,0.323,0.280,0.303,0.089,87.1,14.2,
Schoop, Jonathan,2019,23,0.256,0.252,0.441,0.316,0.300,0.189,87.5,12.5,
Adams, Matt,2019,20,0.226,0.230,0.484,0.323,0.283,0.255,88.6,19.6,
Arenado, Nolan,2019,41,0.315,0.274,0.489,0.349,0.345,0.215,89.4,17.6,
Barnhart, Tucker,2019,11,0.231,0.222,0.332,0.287,0.323,0.110,86.5,11.8,
Bour, Justin,2019,8,0.172,0.193,0.383,0.289,0.280,0.190,89.3,10.4,
Farmer, Kyle,2019,9,0.230,0.232,0.399,0.290,0.282,0.168,85.4,17.8,
Gennett, Scooter,2019,2,0.226,0.208,0.303,0.234,0.232,0.096,86.3,13.2,
Goodwin, Brian,2019,17,0.262,0.238,0.420,0.312,0.308,0.182,87.6,18.4,
Hamilton, Billy,2019,0,0.218,0.226,0.268,0.261,0.299,0.043,80.7,15.2,
Haniger, Mitch,2019,15,0.220,0.225,0.452,0.329,0.323,0.227,88.4,18.2,
Hernandez, Enrique,2019,17,0.237,0.243,0.414,0.311,0.313,0.171,88.4,19.5,
Holt, Brock,2019,3,0.297,0.263,0.371,0.318,0.344,0.108,87.5,11.2,
Lamb, Jake,2019,6,0.193,0.232,0.434,0.346,0.361,0.202,90.7,14.2,
Maile, Luke,2019,2,0.151,0.216,0.342,0.265,0.266,0.126,84.7,13.2,
Muncy, Max,2019,35,0.251,0.272,0.527,0.390,0.393,0.255,89.8,14.4,
Myers, Wil,2019,18,0.239,0.233,0.432,0.322,0.316,0.200,90.2,12.1,
Naquin, Tyler,2019,10,0.288,0.277,0.478,0.333,0.315,0.201,90.7,12.4,
Owings, Chris,2019,3,0.139,0.182,0.298,0.243,0.248,0.116,86.9,8.5,
Phegley, Josh,2019,12,0.239,0.246,0.376,0.289,0.291,0.130,84.1,17.4,
Piscotty, Stephen,2019,13,0.249,0.254,0.444,0.326,0.316,0.190,89.2,12.5,
